dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
29/07/2021,29,7,2021,528,3,Austria,AT,AUT,8901064,Europe
28/07/2021,28,7,2021,404,4,Austria,AT,AUT,8901064,Europe
27/07/2021,27,7,2021,291,3,Austria,AT,AUT,8901064,Europe
26/07/2021,26,7,2021,323,0,Austria,AT,AUT,8901064,Europe
25/07/2021,25,7,2021,368,0,Austria,AT,AUT,8901064,Europe
24/07/2021,24,7,2021,406,1,Austria,AT,AUT,8901064,Europe
23/07/2021,23,7,2021,463,0,Austria,AT,AUT,8901064,Europe
22/07/2021,22,7,2021,400,2,Austria,AT,AUT,8901064,Europe
21/07/2021,21,7,2021,306,0,Austria,AT,AUT,8901064,Europe
20/07/2021,20,7,2021,248,0,Austria,AT,AUT,8901064,Europe
19/07/2021,19,7,2021,325,0,Austria,AT,AUT,8901064,Europe
18/07/2021,18,7,2021,466,0,Austria,AT,AUT,8901064,Europe
17/07/2021,17,7,2021,328,1,Austria,AT,AUT,8901064,Europe
16/07/2021,16,7,2021,310,2,Austria,AT,AUT,8901064,Europe
15/07/2021,15,7,2021,268,4,Austria,AT,AUT,8901064,Europe
14/07/2021,14,7,2021,283,1,Austria,AT,AUT,8901064,Europe
13/07/2021,13,7,2021,87,1,Austria,AT,AUT,8901064,Europe
12/07/2021,12,7,2021,156,0,Austria,AT,AUT,8901064,Europe
11/07/2021,11,7,2021,25,1,Austria,AT,AUT,8901064,Europe
10/07/2021,10,7,2021,117,1,Austria,AT,AUT,8901064,Europe
09/07/2021,9,7,2021,130,3,Austria,AT,AUT,8901064,Europe
08/07/2021,8,7,2021,111,3,Austria,AT,AUT,8901064,Europe
07/07/2021,7,7,2021,90,2,Austria,AT,AUT,8901064,Europe
06/07/2021,6,7,2021,45,10,Austria,AT,AUT,8901064,Europe
05/07/2021,5,7,2021,73,0,Austria,AT,AUT,8901064,Europe
04/07/2021,4,7,2021,145,2,Austria,AT,AUT,8901064,Europe
03/07/2021,3,7,2021,163,8,Austria,AT,AUT,8901064,Europe
02/07/2021,2,7,2021,55,2,Austria,AT,AUT,8901064,Europe
01/07/2021,1,7,2021,36,1,Austria,AT,AUT,8901064,Europe
30/06/2021,30,6,2021,100,2,Austria,AT,AUT,8901064,Europe
29/06/2021,29,6,2021,75,6,Austria,AT,AUT,8901064,Europe
28/06/2021,28,6,2021,67,2,Austria,AT,AUT,8901064,Europe
27/06/2021,27,6,2021,129,3,Austria,AT,AUT,8901064,Europe
26/06/2021,26,6,2021,115,27,Austria,AT,AUT,8901064,Europe
25/06/2021,25,6,2021,101,4,Austria,AT,AUT,8901064,Europe
24/06/2021,24,6,2021,121,12,Austria,AT,AUT,8901064,Europe
23/06/2021,23,6,2021,108,4,Austria,AT,AUT,8901064,Europe
22/06/2021,22,6,2021,118,2,Austria,AT,AUT,8901064,Europe
21/06/2021,21,6,2021,109,0,Austria,AT,AUT,8901064,Europe
20/06/2021,20,6,2021,149,1,Austria,AT,AUT,8901064,Europe
19/06/2021,19,6,2021,132,1,Austria,AT,AUT,8901064,Europe
18/06/2021,18,6,2021,171,3,Austria,AT,AUT,8901064,Europe
17/06/2021,17,6,2021,181,5,Austria,AT,AUT,8901064,Europe
16/06/2021,16,6,2021,-171,6,Austria,AT,AUT,8901064,Europe
15/06/2021,15,6,2021,64,2,Austria,AT,AUT,8901064,Europe
14/06/2021,14,6,2021,216,3,Austria,AT,AUT,8901064,Europe
13/06/2021,13,6,2021,214,2,Austria,AT,AUT,8901064,Europe
12/06/2021,12,6,2021,234,4,Austria,AT,AUT,8901064,Europe
11/06/2021,11,6,2021,262,2,Austria,AT,AUT,8901064,Europe
10/06/2021,10,6,2021,328,0,Austria,AT,AUT,8901064,Europe
09/06/2021,9,6,2021,280,5,Austria,AT,AUT,8901064,Europe
08/06/2021,8,6,2021,259,7,Austria,AT,AUT,8901064,Europe
07/06/2021,7,6,2021,355,3,Austria,AT,AUT,8901064,Europe
06/06/2021,6,6,2021,304,3,Austria,AT,AUT,8901064,Europe
05/06/2021,5,6,2021,286,2,Austria,AT,AUT,8901064,Europe
04/06/2021,4,6,2021,323,7,Austria,AT,AUT,8901064,Europe
03/06/2021,3,6,2021,472,6,Austria,AT,AUT,8901064,Europe
02/06/2021,2,6,2021,364,4,Austria,AT,AUT,8901064,Europe
01/06/2021,1,6,2021,152,12,Austria,AT,AUT,8901064,Europe
31/05/2021,31,5,2021,366,5,Austria,AT,AUT,8901064,Europe
30/05/2021,30,5,2021,570,6,Austria,AT,AUT,8901064,Europe
29/05/2021,29,5,2021,538,11,Austria,AT,AUT,8901064,Europe
28/05/2021,28,5,2021,639,4,Austria,AT,AUT,8901064,Europe
27/05/2021,27,5,2021,405,19,Austria,AT,AUT,8901064,Europe
26/05/2021,26,5,2021,287,8,Austria,AT,AUT,8901064,Europe
25/05/2021,25,5,2021,342,3,Austria,AT,AUT,8901064,Europe
24/05/2021,24,5,2021,520,3,Austria,AT,AUT,8901064,Europe
23/05/2021,23,5,2021,626,8,Austria,AT,AUT,8901064,Europe
22/05/2021,22,5,2021,671,12,Austria,AT,AUT,8901064,Europe
21/05/2021,21,5,2021,603,8,Austria,AT,AUT,8901064,Europe
20/05/2021,20,5,2021,866,13,Austria,AT,AUT,8901064,Europe
19/05/2021,19,5,2021,630,11,Austria,AT,AUT,8901064,Europe
18/05/2021,18,5,2021,391,15,Austria,AT,AUT,8901064,Europe
17/05/2021,17,5,2021,676,6,Austria,AT,AUT,8901064,Europe
16/05/2021,16,5,2021,684,12,Austria,AT,AUT,8901064,Europe
15/05/2021,15,5,2021,721,14,Austria,AT,AUT,8901064,Europe
14/05/2021,14,5,2021,1100,11,Austria,AT,AUT,8901064,Europe
13/05/2021,13,5,2021,1179,14,Austria,AT,AUT,8901064,Europe
12/05/2021,12,5,2021,968,19,Austria,AT,AUT,8901064,Europe
11/05/2021,11,5,2021,670,16,Austria,AT,AUT,8901064,Europe
10/05/2021,10,5,2021,1009,11,Austria,AT,AUT,8901064,Europe
09/05/2021,9,5,2021,1251,14,Austria,AT,AUT,8901064,Europe
08/05/2021,8,5,2021,1383,23,Austria,AT,AUT,8901064,Europe
07/05/2021,7,5,2021,1220,8,Austria,AT,AUT,8901064,Europe
06/05/2021,6,5,2021,1682,26,Austria,AT,AUT,8901064,Europe
05/05/2021,5,5,2021,1297,25,Austria,AT,AUT,8901064,Europe
04/05/2021,4,5,2021,888,25,Austria,AT,AUT,8901064,Europe
03/05/2021,3,5,2021,1732,11,Austria,AT,AUT,8901064,Europe
02/05/2021,2,5,2021,1655,16,Austria,AT,AUT,8901064,Europe
01/05/2021,1,5,2021,2231,26,Austria,AT,AUT,8901064,Europe
30/04/2021,30,4,2021,1995,33,Austria,AT,AUT,8901064,Europe
29/04/2021,29,4,2021,2286,29,Austria,AT,AUT,8901064,Europe
28/04/2021,28,4,2021,1557,20,Austria,AT,AUT,8901064,Europe
27/04/2021,27,4,2021,1380,22,Austria,AT,AUT,8901064,Europe
26/04/2021,26,4,2021,2091,11,Austria,AT,AUT,8901064,Europe
25/04/2021,25,4,2021,2231,15,Austria,AT,AUT,8901064,Europe
24/04/2021,24,4,2021,2407,32,Austria,AT,AUT,8901064,Europe
23/04/2021,23,4,2021,2347,25,Austria,AT,AUT,8901064,Europe
22/04/2021,22,4,2021,2377,40,Austria,AT,AUT,8901064,Europe
21/04/2021,21,4,2021,2005,27,Austria,AT,AUT,8901064,Europe
20/04/2021,20,4,2021,1792,32,Austria,AT,AUT,8901064,Europe
19/04/2021,19,4,2021,2159,34,Austria,AT,AUT,8901064,Europe
18/04/2021,18,4,2021,2591,23,Austria,AT,AUT,8901064,Europe
17/04/2021,17,4,2021,2348,30,Austria,AT,AUT,8901064,Europe
16/04/2021,16,4,2021,2561,33,Austria,AT,AUT,8901064,Europe
15/04/2021,15,4,2021,2855,31,Austria,AT,AUT,8901064,Europe
14/04/2021,14,4,2021,2032,51,Austria,AT,AUT,8901064,Europe
