name	code	population	area
Alabama	AL	4903185	135767
Alaska	AK	731545	1723337
Arizona	AZ	113990	113594
Arkansas	AR	53179	52035
California	CA	39512223	423967
Colorado	CO	104094	103642
Connecticut	CT	3565278	14357
Delaware	DE	973764	6446
Florida	FL	21477737	170312
Georgia	GA	59425	57513
Hawaii	HI	10932	6423
Idaho	ID	83569	82643
Illinois	IL	12671821	149995
Indiana	IN	36420	35826
Iowa	IA	56273	55857
Kansas	KS	2913314	213100
Kentucky	KY	4467673	104656
Louisiana	LA	4648794	135659
Maine	ME	1344212	91633
Maryland	MD	6045680	32131
Massachusetts	MA	10554	7800
Michigan	MI	9986857	250487
Minnesota	MN	5639632	225163
Mississippi	MS	48432	46923
Missouri	MO	6137428	180540
Montana	MT	1068778	380831
Nebraska	NE	1934408	200330
Nevada	NV	3080156	286380
New Hampshire	NH	1359711	24214
New Jersey	NJ	8882190	22591
New Mexico	NM	2096829	314917
New York	NY	19453561	141297
North Carolina	NC	10488084	139391
North Dakota	ND	762062	183108
Ohio	OH	44826	40861
Oklahoma	OK	69899	68595
Oregon	OR	4217737	254799
Pennsylvania	PA	12801989	119280
Rhode Island	RI	1545	1034
South Carolina	SC	5148714	82933
South Dakota	SD	884659	199729
Tennessee	TN	42144	41235
Texas	TX	28995881	695662
Utah	UT	84897	82170
Vermont	VT	623989	24906
Virginia	VA	8535519	110787
Washington	WA	7614893	184661
West Virginia	WV	24230	24038
Wisconsin	WI	5822434	169635
Wyoming	WY	97813	97093
District of Columbia	DC	705749	176
American Samoa	AS	57400	1505
Guam	GU	161700	1478
Northern Mariana Islands	MP	52300	5117
Puerto Rico	PR	3193694	13791
Virgin Islands	VI	103700	1898
Minor Outlying Islands	XX		
