FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2022-02-10 04:21:14,33.93911,67.709953,168550,7465,,,Afghanistan,432.9750399586769,4.428952832987244
,,,Albania,2022-02-10 04:21:14,41.1533,20.1683,266416,3399,,,Albania,9257.627354228925,1.2758242748183293
,,,Algeria,2022-02-10 04:21:14,28.0339,1.6596,259673,6678,,,Algeria,592.1706354852266,2.571695940663835
,,,Andorra,2022-02-10 04:21:14,42.5063,1.5218,36989,148,,,Andorra,47872.90493755258,0.400118954283706
,,,Angola,2022-02-10 04:21:14,-11.2027,17.8739,98453,1896,,,Angola,299.5563719008194,1.9257920022751973
,,,Antarctica,2022-02-10 04:21:14,-71.9499,23.346999999999998,11,0,,,Antarctica,,0.0
,,,Antigua and Barbuda,2022-02-10 04:21:14,17.0608,-61.7964,6853,131,,,Antigua and Barbuda,6997.998529531899,1.9115715744929227
,,,Argentina,2022-02-10 04:21:14,-38.4161,-63.6167,8675327,123444,,,Argentina,19194.99470050045,1.422931954034701
,,,Armenia,2022-02-10 04:21:14,40.0691,45.0382,396885,8108,,,Armenia,13393.643566454759,2.0429091550449123
,,Australian Capital Territory,Australia,2022-02-10 04:21:14,-35.4735,149.0124,40113,31,,,"Australian Capital Territory, Australia",9370.00700770848,0.07728167925610151
,,New South Wales,Australia,2022-02-10 04:21:14,-33.8688,151.2093,1174476,1640,,,"New South Wales, Australia",14467.553584626756,0.13963674012921506
,,Northern Territory,Australia,2022-02-10 04:21:14,-12.4634,130.8456,25612,5,,,"Northern Territory, Australia",10428.338762214984,0.01952209901608621
,,Queensland,Australia,2022-02-10 04:21:14,-27.4698,153.0251,475517,340,,,"Queensland, Australia",9295.61137718698,0.07150112403972939
,,South Australia,Australia,2022-02-10 04:21:14,-34.9285,138.6007,118448,139,,,"South Australia, Australia",6743.410190720182,0.11735107388896393
