FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
45001,Abbeville,South Carolina,US,2020-07-29 04:35:11,34.22333378,-82.46170658,269,6,0,263,"Abbeville, South Carolina, US",1096.7505198352835,2.2304832713754648
22001,Acadia,Louisiana,US,2020-07-29 04:35:11,30.295064899999996,-92.41419698,2229,65,0,2164,"Acadia, Louisiana, US",3592.553791602869,2.9161058770749215
51001,Accomack,Virginia,US,2020-07-29 04:35:11,37.76707161,-75.63234615,1069,15,0,1054,"Accomack, Virginia, US",3307.958905805174,1.4031805425631432
16001,Ada,Idaho,US,2020-07-29 04:35:11,43.4526575,-116.24155159999998,7378,50,0,7328,"Ada, Idaho, US",1532.0180984951837,0.6776904310111141
19001,Adair,Iowa,US,2020-07-29 04:35:11,41.33075609,-94.47105874,20,0,0,20,"Adair, Iowa, US",279.6420581655481,0.0
21001,Adair,Kentucky,US,2020-07-29 04:35:11,37.10459774,-85.28129668,185,19,0,166,"Adair, Kentucky, US",963.4413081970628,10.27027027027027
29001,Adair,Missouri,US,2020-07-29 04:35:11,40.19058551,-92.60078167,123,0,0,123,"Adair, Missouri, US",485.3411198358521,0.0
40001,Adair,Oklahoma,US,2020-07-29 04:35:11,35.88494195,-94.65859267,266,5,0,261,"Adair, Oklahoma, US",1198.5221230963323,1.8796992481203008
8001,Adams,Colorado,US,2020-07-29 04:35:11,39.87432092,-104.3362578,5713,168,0,5545,"Adams, Colorado, US",1104.1299058213717,2.940661648870996
16003,Adams,Idaho,US,2020-07-29 04:35:11,44.89333571,-116.4545247,17,0,0,17,"Adams, Idaho, US",395.9012575687005,0.0
17001,Adams,Illinois,US,2020-07-29 04:35:11,39.98815591,-91.18786813,355,1,0,354,"Adams, Illinois, US",542.5231145411477,0.28169014084507044
18001,Adams,Indiana,US,2020-07-29 04:35:11,40.7457653,-84.93671406,73,1,0,72,"Adams, Indiana, US",204.041702769936,1.36986301369863
19003,Adams,Iowa,US,2020-07-29 04:35:11,41.02903567,-94.69932645,13,0,0,13,"Adams, Iowa, US",360.9106052193226,0.0
28001,Adams,Mississippi,US,2020-07-29 04:35:11,31.47669768,-91.35326037,531,23,0,508,"Adams, Mississippi, US",1730.036164597791,4.3314500941619585
